type	latitude	longitude	altitude (m)	name	desc
T	-12.011786723	-76.960094146	305.8		
T	-12.011779188	-76.959892682	306.8		
T	-12.011762820	-76.959422219	310.1		
T	-12.011760921	-76.959114615	313.2		
T	-12.011772384	-76.958902348	319.2		
T	-12.011796279	-76.958717345	324.6		
T	-12.011848863	-76.958413634	333.8		
T	-12.011895680	-76.958217438	342.5		
T	-12.011920329	-76.958102342	348.5		
T	-12.011956423	-76.957879808	360.0		
T	-12.011972482	-76.957669060	370.7		
T	-12.011877474	-76.957589723	373.1		
T	-12.011885508	-76.957369426	386.0		
T	-12.011885261	-76.957187838	397.5		
T	-12.011843946	-76.957047656	405.9		
T	-12.011820429	-76.956832574	419.5		
T	-12.011875245	-76.956606412	434.3		
T	-12.011893233	-76.956419457	446.2		
T	-12.011930975	-76.956302775	453.8		
T	-12.012002909	-76.956105102	466.5		
T	-12.012063613	-76.955946321	476.5		
T	-12.012165088	-76.955640568	486.8		
T	-12.012159266	-76.955405047	490.7		
T	-12.012130512	-76.955179482	495.0		
T	-12.012153025	-76.955051176	496.7		
T	-12.012191632	-76.954861567	493.2		
T	-12.012185076	-76.954799399	491.9		
T	-12.012222325	-76.954674968	488.1		
T	-12.012201258	-76.954400634	482.1		
T	-12.012144743	-76.954049079	469.2		
T	-12.012123797	-76.953780403	451.6		
T	-12.012087269	-76.953694258	446.0		
T	-12.012041261	-76.953545694	436.2		
T	-12.012073719	-76.953420051	427.8		
T	-12.012137895	-76.953324713	421.6		
T	-12.012127236	-76.953204234	415.3		
T	-12.012105870	-76.953053605	407.4		
T	-12.012082205	-76.952810975	394.7		
T	-12.012039571	-76.952690828	388.4		
T	-12.011976390	-76.952509428	378.9		
T	-12.011935706	-76.952387499	372.0		
T	-12.011907637	-76.952295119	366.9		
T	-12.011870582	-76.952171478	360.2		
T	-12.011811114	-76.951952897	348.7		
T	-12.011756218	-76.951698767	335.6		
T	-12.011722662	-76.951539274	331.3		
T	-12.011626405	-76.951349522	327.4		
T	-12.011583755	-76.951286794	325.9		
T	-12.011510550	-76.950995787	319.4		
T	-12.011496908	-76.950797760	315.7		
T	-12.011484617	-76.950565942	314.8		
T	-12.011475867	-76.950400387	314.2		
T	-12.011464876	-76.950201772	313.5		
T	-12.011450692	-76.949970261	312.7		
T	-12.011443055	-76.949837938	312.0		
T	-12.011437514	-76.949738621	311.5		
T	-12.011431241	-76.949639363	311.1		
T	-12.011413661	-76.949408060	310.0		
T	-12.011396073	-76.949176634	309.0		
T	-12.011386179	-76.949044319	308.6		
T	-12.011371767	-76.948845745	308.0		
T	-12.011359751	-76.948680214	307.5		
T	-12.011345818	-76.948481429	306.9		
T	-12.011343704	-76.948448288	306.8		
T	-12.011315985	-76.948283397	306.5		
T	-12.011283106	-76.947951830	306.2		
T	-12.011353316	-76.947815274	305.7		
T	-12.011351749	-76.947715661	305.6		
T	-12.011343234	-76.947516566	305.4		
T	-12.011372075	-76.947349029	305.0		
T	-12.011538685	-76.947042736	304.1		
T	-12.011833778	-76.946500103	303.8		
